Postal_Code,City_ID
42420,1
40475,2
40214,3
41042,4
42071,5
42104,6
40324,7
42301,8
33311,9
32935,10
33614,11
33319,12
33710,13
33024,14
33180,15
33142,15
33178,15
32216,16
33801,17
32137,18
33012,19
33433,20
33030,21
33065,22
33437,23
32725,24
32127,25
32712,26
32174,27
32303,28
33068,29
32839,30
33161,31
33317,32
34952,33
33023,34
33021,35
32114,36
33063,37
32503,38
33458,39
33445,40
33407,41
34741,42
32771,43
33134,44
28027,45
27707,46
28205,47
27514,48
28403,49
28052,50
27217,51
27511,52
28540,53
28110,54
27834,55
27360,56
28314,57
27405,58
27604,59
28806,60
28601,61
27893,62
27534,63
22153,64
22204,65
22980,66
23223,67
22304,68
23464,69
22801,70
24153,71
23434,72
22901,73
23320,74
23602,75
23666,76
38109,77
37620,78
37064,79
38401,80
37130,81
38301,82
37167,83
37604,84
37918,85
37042,86
37211,87
37421,88
38134,89
37087,90
37075,91
35601,92
36116,93
35630,94
36608,95
36830,96
35810,97
35244,98
35401,99
29203,100
29501,101
29406,102
29483,103
29464,104
29730,105
71203,106
71111,107
70506,108
70601,109
70065,110
31907,111
30318,112
31088,113
30076,114
31204,115
30080,116
30328,117
30605,118
30062,119
30344,120
30188,121
39212,122
39503,123
38671,124
39401,125
72701,126
72401,127
72209,128
71901,129
71854,130
72756,131
72032,132
71603,133
72762,134
90036,135
90032,135
90049,135
90004,135
90045,135
90008,135
94109,136
94122,136
94110,136
95661,137
91104,138
95123,139
92374,140
90604,141
95051,142
92037,143
92024,143
92105,143
94513,144
90301,145
90805,146
92345,147
92646,148
94521,149
92627,150
92804,151
94591,152
92691,153
93534,154
92530,155
92704,156
93905,157
92503,158
90503,159
92054,160
92563,161
94601,162
92024,163
94509,164
92025,165
93727,166
94533,167
90660,168
92683,169
91767,170
92677,171
92404,172
91761,173
91730,174
95207,175
94086,176
95336,177
95823,178
91360,179
92236,180
92253,181
95687,182
93309,183
90278,184
92307,185
95695,186
94403,187
93277,188
92592,189
92399,190
91911,191
90712,192
95610,193
91776,194
94526,195
92553,196
93101,197
91941,198
92630,199
96003,200
95928,201
94061,202
93454,203
93030,204
90640,205
92020,206
93010,207
91505,208
95351,209
95616,210
95037,211
92672,212
94568,213
93405,214
95240,215
98103,216
98105,216
98115,216
98198,217
98270,218
98661,219
