Order_ID,Product_ID,Sales,Quantity,Profit,Discount
CA-2020-152156,1,261.96,2,41.9136,0.0
CA-2021-110198,2,314.352,3,-15.71759999999999,0.2
CA-2020-117681,3,556.665,5,6.549000000000021,0.15
CA-2021-159793,4,130.98,2,-89.06639999999999,0.5
CA-2021-124765,5,723.92,5,-81.44099999999995,0.2
CA-2021-104003,6,307.666,2,-14.47839999999998,0.15
CA-2019-135251,7,369.1992,3,-114.0174,0.32
CA-2019-105690,8,246.1328,2,-76.01159999999997,0.32
CA-2021-140872,9,241.568,2,0.0,0.2
CA-2021-154907,10,205.3328,2,-36.23520000000001,0.32
CA-2019-146087,11,301.96,2,60.392,0.0
CA-2019-163965,12,290.352,3,-36.29400000000001,0.2
CA-2018-101931,13,616.998,6,-36.294,0.15
CA-2021-140963,14,514.165,5,-30.24499999999999,0.15
CA-2018-131247,15,205.666,2,-12.098,0.15
CA-2021-108070,16,102.833,1,-6.048999999999999,0.15
CA-2018-154599,17,308.499,3,-18.147,0.15
CA-2020-149762,18,205.666,2,-12.098,0.15
CA-2020-156251,19,241.96,2,24.196,0.0
CA-2020-152688,20,120.98,1,12.098,0.0
CA-2018-166744,21,362.94,3,36.294,0.0
CA-2018-156790,22,155.456,4,-7.772799999999989,0.2
CA-2021-126914,23,77.72800000000001,2,-3.886399999999995,0.2
CA-2021-161200,24,145.74,3,23.31840000000001,0.0
US-2020-166660,25,48.58,1,7.772800000000004,0.0
CA-2021-116946,26,102.018,7,-183.6323999999999,0.7
CA-2019-168480,27,194.32,4,31.09120000000001,0.0
CA-2020-123533,28,339.9200000000001,5,8.497999999999976,0.2
CA-2021-131954,29,84.98,1,18.6956,0.0
CA-2020-113845,30,289.568,2,10.85879999999997,0.2
CA-2021-138975,31,1628.82,9,374.6285999999999,0.0
CA-2020-162355,32,1266.86,7,291.3777999999999,0.0
CA-2019-121188,33,307.666,2,28.95679999999997,0.15
CA-2020-137050,34,579.136,4,21.71759999999995,0.2
CA-2019-146262,35,452.45,5,-244.3230000000001,0.5
US-2019-147242,36,361.96,2,83.25079999999997,0.0
US-2019-149629,37,231.92,5,5.798000000000002,0.2
US-2021-134642,38,231.92,5,5.798000000000002,0.2
CA-2021-159226,39,344.9809999999999,7,28.41020000000002,0.15
US-2021-115301,40,115.96,2,25.5112,0.0
CA-2021-136539,41,78.85279999999999,2,-11.596,0.32
CA-2019-105102,42,46.384,1,1.159600000000001,0.2
CA-2020-110772,43,86.97,3,-48.7032,0.5
CA-2021-161340,44,115.96,4,-64.93759999999999,0.5
CA-2020-160304,45,173.94,3,38.2668,0.0
US-2021-126060,46,198.272,8,-32.21920000000002,0.2
CA-2019-115847,47,61.96,2,4.337199999999996,0.0
CA-2018-149524,48,61.96,4,-53.28560000000001,0.5
CA-2021-122994,49,359.97,3,79.19339999999997,0.0
US-2020-108504,50,239.98,2,52.79559999999998,0.0
CA-2021-112753,51,917.9234999999999,9,75.5936999999999,0.15
CA-2018-119144,52,305.9745,3,25.19789999999997,0.15
CA-2021-124086,53,203.983,2,16.79859999999998,0.15
CA-2019-100146,54,509.9574999999999,5,41.99649999999994,0.15
CA-2021-135377,55,287.976,3,7.199399999999969,0.2
CA-2021-161480,56,191.984,2,4.799599999999977,0.2
CA-2020-127236,57,299.975,5,-167.986,0.5
CA-2019-137974,58,523.26,9,125.5824,0.0
CA-2021-141201,59,148.257,3,15.6978,0.15
CA-2021-134565,60,174.42,3,41.8608,0.0
US-2021-169551,61,87.21000000000001,3,-45.3492,0.5
CA-2019-100454,62,186.048,4,9.302400000000006,0.2
CA-2021-104731,63,302.94,3,69.67619999999998,0.0
CA-2020-108735,64,257.499,3,24.23519999999998,0.15
CA-2021-113873,65,205.9992,3,-27.26460000000002,0.32
CA-2020-115574,66,141.372,2,-14.13720000000001,0.3
CA-2021-131233,67,242.352,3,9.088199999999972,0.2
CA-2021-143259,68,323.136,4,12.11759999999997,0.2
CA-2019-103870,69,131.104,2,8.193999999999996,0.2
CA-2020-166772,70,163.88,2,40.97,0.0
CA-2020-159912,71,163.88,4,-81.94,0.5
CA-2020-143749,72,81.94,1,20.485,0.0
US-2021-132031,73,387.136,4,-14.51760000000003,0.2
CA-2021-117457,74,1336.829,13,31.45479999999995,0.15
CA-2018-146591,75,181.47,5,-320.597,0.7
CA-2021-141117,76,217.764,6,-384.7164,0.7
CA-2021-143378,77,72.58800000000001,2,-128.2388,0.7
CA-2021-167381,78,241.96,2,41.13319999999999,0.0
US-2018-127978,79,302.45,5,-199.617,0.5
CA-2021-125472,80,241.96,2,33.87440000000001,0.0
CA-2018-105249,81,411.332,4,-4.839199999999977,0.15
CA-2019-130785,82,411.332,4,-4.839199999999977,0.15
US-2020-106600,83,354.9,5,88.72500000000002,0.0
CA-2019-143364,84,127.764,6,-191.646,0.7
CA-2018-166863,85,193.0656,4,-19.87439999999999,0.32
US-2021-167402,86,212.94,3,53.23500000000001,0.0
CA-2019-137925,87,681.4080000000001,12,42.58800000000002,0.2
CA-2021-159464,88,302.94,3,75.73500000000001,0.0
