Customer_ID,Postal_Code_ID,Customer_address_ID
CG-12520,1,1
DK-12985,1,2
RD-19585,1,3
KC-16255,1,4
AB-10105,1,5
DB-12910,1,6
SB-20290,1,7
PS-18970,1,8
AP-10915,1,9
SC-20050,1,10
TB-21175,1,11
CC-12685,1,12
ME-17320,1,13
KC-16675,1,14
DB-13555,1,15
GW-14605,1,16
AH-10210,1,17
VB-21745,2,18
BD-11725,2,19
PW-19030,2,20
BO-11425,2,21
DH-13075,2,22
RD-19810,2,23
FM-14290,2,24
PF-19120,2,25
JO-15145,2,26
PJ-18835,2,27
LC-17050,2,28
FM-14215,2,29
JL-15835,2,30
RP-19855,2,31
RC-19825,3,32
AF-10885,3,33
ND-18370,3,34
JW-15955,3,35
DW-13480,3,36
PG-18820,3,37
AH-10120,3,38
AS-10630,3,39
SS-20515,3,40
JK-16090,3,41
KC-16675,3,42
KH-16360,3,43
JM-16195,3,44
AH-10210,3,45
BS-11590,3,46
ME-17725,3,47
JE-15745,4,48
KW-16435,4,49
HG-14965,4,50
CL-12700,4,51
LP-17095,5,52
JG-15160,5,53
KH-16330,6,54
BD-11635,6,55
TP-21130,7,56
AA-10645,7,57
SS-20410,7,58
CC-12220,8,59
DW-13585,8,60
SO-20335,9,61
DB-12910,9,62
BT-11680,9,63
MG-17875,9,64
EH-14125,9,65
DP-13000,9,66
SC-20695,9,67
BB-11545,9,68
HF-14995,9,69
JK-16120,9,70
HZ-14950,9,71
AP-10720,9,72
ES-14080,10,73
CS-12400,11,74
CA-12775,11,75
AS-10240,11,76
JB-15400,11,77
SW-20455,11,78
DB-12910,11,79
SP-20620,11,80
EP-13915,11,81
DB-13120,11,82
AC-10450,11,83
PR-18880,11,84
LC-16960,11,85
CC-12670,11,86
TG-21640,11,87
AH-10195,12,88
AT-10435,12,89
AG-10525,13,90
AJ-10795,13,91
LC-16885,13,92
PR-18880,13,93
EB-13930,13,94
AG-10495,13,95
DO-13435,14,96
AC-10450,14,97
SC-20380,14,98
NR-18550,14,99
LF-17185,15,100
BD-11605,15,101
MK-17905,15,102
JS-15595,15,103
RF-19345,15,104
JK-15370,15,105
PN-18775,15,106
PJ-19015,15,107
KB-16240,15,108
DR-12880,15,109
MF-17665,15,110
SS-20875,15,111
DH-13675,15,112
TB-21400,15,113
ZC-21910,16,114
BV-11245,16,115
PA-19060,16,116
EB-13870,16,117
DL-12865,16,118
AH-10585,16,119
CP-12340,16,120
EM-14200,16,121
SV-20815,16,122
RA-19945,17,123
DC-12850,17,124
BE-11410,17,125
PB-19150,17,126
MJ-17740,17,127
HR-14830,17,128
BF-11275,17,129
SC-20575,17,130
FM-14380,17,131
MH-17290,17,132
MK-18160,18,133
RC-19960,18,134
NB-18655,18,135
AJ-10795,18,136
SL-20155,18,137
JR-15700,18,138
SA-20830,18,139
TH-21550,18,140
CK-12760,18,141
DB-13555,18,142
KN-16450,18,143
SM-20320,18,144
GH-14425,18,145
RA-19885,18,146
HJ-14875,18,147
ND-18370,18,148
CP-12340,18,149
ZD-21925,18,150
MG-18145,18,151
ND-18460,18,152
EP-13915,18,153
PO-18850,18,154
MK-17905,18,155
KL-16555,18,156
JR-16210,18,157
JD-15790,18,158
BF-11020,18,159
SC-20260,18,160
MG-18205,18,161
SP-20860,18,162
SV-20785,18,163
DV-13045,18,164
CJ-12010,18,165
PT-19090,18,166
PM-19135,18,167
VG-21790,18,168
HR-14770,18,169
NF-18475,18,170
PH-18790,19,171
JE-15610,19,172
RA-19285,19,173
MC-17605,19,174
CS-11860,19,175
CS-12490,19,176
AP-10915,20,177
AJ-10780,20,178
DM-13525,20,179
SC-20695,21,180
EH-14005,21,181
KB-16585,21,182
PO-18850,21,183
BH-11710,21,184
JK-15205,21,185
FC-14245,21,186
JH-15430,21,187
SC-20050,21,188
MS-17365,22,189
VM-21835,22,190
LR-16915,23,191
AF-10870,23,192
NG-18355,24,193
BP-11185,24,194
AG-10900,24,195
PG-18820,25,196
AS-10630,25,197
BW-11200,25,198
DO-13645,25,199
LW-16825,26,200
NK-18490,26,201
BM-11785,26,202
EP-13915,26,203
JP-15520,27,204
RP-19855,28,205
LB-16795,28,206
CK-12205,28,207
TS-21085,29,208
JC-15775,30,209
RH-19555,30,210
TC-21295,30,211
KC-16675,30,212
PO-18850,30,213
TN-21040,30,214
LB-16735,30,215
RB-19465,30,216
NB-18655,30,217
SS-20140,31,218
PW-19030,31,219
RH-19495,32,220
DB-13405,32,221
FA-14230,32,222
RF-19345,32,223
NS-18640,32,224
DK-13090,32,225
DC-12850,33,226
JP-15520,33,227
EB-13750,34,228
AH-10690,34,229
DC-13285,34,230
DB-13210,35,231
MP-17965,35,232
ST-20530,35,233
DK-12895,36,234
SJ-20125,36,235
JS-15685,36,236
KB-16315,37,237
FO-14305,37,238
DR-12940,37,239
EM-13825,37,240
PP-18955,37,241
GM-14500,37,242
CS-12355,37,243
XP-21865,37,244
RD-19720,38,245
SA-20830,38,246
SC-20095,39,247
PW-19240,40,248
TC-21295,41,249
BG-11740,42,250
CP-12085,42,251
JH-15910,43,252
CR-12820,43,253
EH-14185,43,254
JL-15235,44,255
MH-18115,45,256
AH-10690,46,257
AA-10480,47,258
DL-13330,47,259
BP-11290,47,260
AG-10675,47,261
JH-15985,47,262
JC-16105,48,263
